StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,BFI_1,BFI_2,BFI_3,BFI_4,BFI_5,BFI_6,BFI_7,BFI_8,BFI_9,BFI_10,BFI_11,BFI_12,BFI_13,BFI_14,BFI_15,BFI_DO,EC_1,EC_2,EC_3,EC_4,EC_5,EC_6,EC_7,EC_DO,Attach_1,Attach_2,Attach_3,Attach_4,Attach_5,Attach_6,Attach_7,Attach_8,Attach_9,Attach_DO,RNSF1_1,RNSF1_2,RNSF1_3,RNSF1_4,RNSF1_5,RNSF1_6,RNSF1_7,RNSF1_8,RNSF1_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_10,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_5,KM_CSR_DO,KM_M_1,KM_M_2,KM_M_3,KM_M_4,KM_M_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,RNSF2_1,RNSF2_2,RNSF2_3,RNSF2_4,RNSF2_5,RNSF2_6,RNSF2_7,RNSF2_8,RNSF2_DO,Q12.1,Q12.1_DO,Q12.4,Q12.2,Q12.2_2_TEXT,Q12.3,Gender,Gender_7_TEXT,Age_1,Race,Race_10_TEXT,Education,Student,Employed,Income,SexualOr,SexualOr_6_TEXT,SC0,id,FL_3_DO,FL_5_DO
2021-04-20 14:12:14,2021-04-20 14:24:46,0,192.41.114.228,100,751,1,2021-04-20 14:24:46,R_50BlwcxipIovw6R,,,,,55.9488983154296875,-3.1631927490234375,anonymous,EN-GB,1,4,5,1,5,3,3,2,4,4,2,3,5,4,2,3,2|10|8|12|1|5|7|13|9|15|3|6|11|14|4,5,1,5,1,1,5,5,7|5|2|1|3|6|4,6,6,6,5,2,4,5,5,5,5|8|1|7|4|2|3|9|6,4,5,4,4,3,2,2,2,7|1|3|6|5|8|2|4,5,1,1,1,5,2,1,1,1,5,3,2,12|3|4|8|10|6|2|9|1|5|7|11,3,2,2,6,1,4|3|5|1|2,2,5,5,2,4|1|2|3,4,5,2,2,3|2|1,4,4,4,4,3,2,2,2,5|2|8|6|3|4|7|1,7,3|4|5|6|2|7,2,1,,1,0,,18,0,,1,1,0,5,0,,248,3531,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 14:32:17,2021-04-20 14:41:35,0,31.205.200.236,100,558,1,2021-04-20 14:41:36,R_2QDGWklhSA9jW2S,,,,,55.9488983154296875,-3.1631927490234375,anonymous,EN-GB,1,3,3,2,4,3,4,4,4,4,3,2,2,5,2,4,8|7|9|14|11|3|6|10|13|5|12|1|15|4|2,4,4,5,3,3,5,2,3|2|6|4|5|1|7,7,5,5,2,3,7,7,6,7,8|6|5|4|2|1|7|9|3,3,5,5,4,5,5,4,1,3|4|5|6|2|8|1|7,7,7,4,3,7,6,7,7,1,7,4,4,8|5|3|9|6|1|2|4|7|10|12|11,6,7,7,7,1,3|4|2|5|1,6,6,7,6,4|2|1|3,7,7,7,7,2|1|3,4,4,5,5,4,4,4,1,5|2|7|3|8|6|1|4,3,5|2|7|6|3|4,2,1,,1,0,,19,2,,1,1,0,5,0,,314,3450,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 14:47:24,2021-04-20 15:00:59,0,92.0.141.4,100,814,1,2021-04-20 15:00:59,R_3p2YggmwEFfcapW,,,,,53.0919036865234375,-2.384796142578125,anonymous,EN-GB,1,5,1,2,2,4,3,5,4,5,4,1,2,4,3,2,6|4|13|1|9|8|14|15|10|11|3|7|2|5|12,1,5,3,5,3,1,1,2|4|6|3|7|1|5,1,1,2,1,7,7,6,5,3,2|8|5|6|4|3|1|7|9,3,2,3,1,4,2,4,4,6|3|7|1|8|4|2|5,1,1,1,1,1,1,1,1,1,1,2,2,9|11|12|8|1|4|5|10|3|2|6|7,1,1,1,1,1,2|5|1|3|4,1,1,1,1,3|2|4|1,2,1,1,1,3|1|2,3,2,2,2,5,4,5,4,4|6|2|5|7|1|3|8,7,6|4|7|5|2|3,2,1,,1,6,,19,0,,1,1,0,4,4,,169,3431,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 15:14:41,2021-04-20 15:23:01,0,151.227.167.175,100,500,1,2021-04-20 15:23:02,R_1QcsID4aCwHrvac,,,,,55.167205810546875,-1.598297119140625,anonymous,EN-GB,1,4,3,4,5,4,1,3,5,3,2,3,2,4,3,2,7|9|15|3|6|1|13|5|11|8|10|14|2|12|4,4,4,4,3,2,3,3,1|3|2|7|4|6|5,5,6,5,5,5,4,3,5,4,2|4|8|7|9|3|5|1|6,4,4,4,4,1,2,2,2,7|4|8|3|2|6|1|5,5,5,6,7,5,3,6,5,3,3,4,2,7|4|8|6|1|2|9|5|12|10|3|11,6,4,5,6,1,3|4|1|5|2,1,1,1,1,3|2|4|1,4,5,5,5,3|2|1,4,4,4,5,1,1,2,1,4|7|3|1|5|8|2|6,3,5|2|4|6|3|7,2,1,,1,0,,19,0,,1,1,0,4,0,,260,3413,"Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 15:30:39,2021-04-20 15:44:10,0,192.41.128.4,100,811,1,2021-04-20 15:44:10,R_RhoIgnFUeatdleh,,,,,55.91290283203125,-3.1609039306640625,anonymous,EN-GB,1,1,5,4,5,4,2,2,4,5,1,2,4,4,2,4,12|3|4|10|5|7|15|9|6|11|14|1|2|13|8,5,2,4,1,1,5,5,2|4|3|7|1|6|5,7,5,6,3,5,5,4,3,3,2|8|5|7|1|3|9|6|4,4,4,4,4,1,1,4,2,3|2|6|7|8|5|4|1,5,4,4,4,5,3,3,4,1,6,5,3,10|2|4|9|7|11|1|5|12|6|8|3,2,5,5,4,1,5|3|1|4|2,1,7,7,3,1|3|4|2,7,6,7,4,3|1|2,5,4,4,4,1,2,2,1,5|6|8|7|2|1|3|4,3,2|7|3|4|6|5,2,1,,1,0,,19,0,,1,1,0,4,4,,293,3667,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 14:59:59,2021-04-20 15:55:56,0,86.163.65.85,100,3356,1,2021-04-20 15:55:56,R_1IBhO7qIFiVKlQD,,,,,51.509796142578125,-1.2010955810546875,anonymous,EN-GB,1,5,4,2,4,4,1,2,5,4,3,2,2,4,2,3,1|6|4|3|12|9|14|7|11|15|13|10|5|2|8,5,1,5,2,1,4,3,7|4|2|1|5|6|3,5,3,5,5,4,5,5,5,5,3|9|8|7|1|5|6|2|4,3,3,3,3,3,2,3,2,2|3|7|1|8|4|6|5,1,1,1,1,1,1,1,1,1,1,1,1,9|7|1|12|8|4|6|11|5|2|10|3,1,1,1,1,1,2|4|3|1|5,1,1,1,1,3|4|2|1,1,1,1,1,2|1|3,2,3,4,4,3,2,3,4,6|4|7|2|5|1|8|3,7,6|2|7|3|4|5,2,1,,1,1,,20,0,,1,1,0,3,0,,184,3412,"Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 15:54:21,2021-04-20 16:13:54,0,176.254.229.115,100,1173,1,2021-04-20 16:13:54,R_RE6EuC7wKAeLBqF,,,,,57.16259765625,-2.15179443359375,anonymous,EN-GB,1,5,4,4,5,4,1,2,4,5,2,2,3,5,2,4,7|4|10|9|8|1|13|3|11|12|6|14|2|5|15,4,2,4,2,1,2,4,3|4|7|1|2|6|5,1,1,2,1,7,7,6,7,5,4|9|2|7|5|3|8|1|6,3,2,2,2,4,2,5,4,8|6|5|7|1|2|4|3,4,4,2,3,2,2,2,2,1,1,2,1,6|4|1|11|12|5|2|3|9|7|8|10,5,2,2,1,1,2|4|1|3|5,1,1,3,1,4|2|3|1,4,4,4,4,3|2|1,3,3,3,2,4,2,4,4,4|8|3|2|5|6|1|7,3,2|4|7|6|3|5,2,1,,1,0,,18,0,,1,1,0,4,4,,233,3641,"Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 16:00:50,2021-04-20 16:15:59,0,86.181.62.128,100,909,1,2021-04-20 16:15:59,R_32WLg7QKaMdlYny,,,,,56.4597015380859375,-2.9774932861328125,anonymous,EN-GB,1,2,2,3,2,2,4,3,3,2,4,5,3,4,4,5,9|7|6|12|3|11|2|13|8|1|15|5|10|4|14,3,3,4,3,2,2,1,7|2|1|3|6|5|4,4,3,3,1,5,2,1,1,1,3|6|9|1|2|8|5|7|4,3,3,3,3,2,3,2,2,2|3|7|4|8|1|5|6,1,1,1,1,1,1,1,1,1,1,1,1,9|7|10|2|12|3|8|11|1|6|5|4,1,1,1,1,1,5|2|1|4|3,1,1,1,1,1|2|4|3,1,1,1,1,3|2|1,3,3,3,2,2,3,3,3,4|3|1|8|7|2|5|6,7,2|4|7|5|6|3,2,1,,1,1,,19,0,,1,1,1,3,0,,168,3741,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 17:02:43,2021-04-20 17:12:47,0,82.9.48.152,100,604,1,2021-04-20 17:12:47,R_3Mhg4xgxkx2Fu2M,,,,,50.8428955078125,-0.1157989501953125,anonymous,EN-GB,1,5,4,2,5,3,2,1,4,3,4,3,5,5,4,3,14|9|10|3|5|4|12|13|6|8|2|1|15|11|7,4,2,5,2,1,4,4,3|5|2|4|6|1|7,6,5,6,5,4,6,5,3,5,7|3|4|6|2|1|8|5|9,4,5,5,5,2,2,1,2,1|7|5|6|4|3|2|8,3,1,2,1,6,6,1,1,1,7,1,6,6|5|1|8|3|10|7|2|4|11|12|9,4,6,5,6,1,4|5|2|1|3,2,2,4,3,4|1|2|3,7,7,7,7,1|3|2,5,5,5,5,1,1,1,1,5|6|7|4|2|3|1|8,3,3|6|7|5|4|2,2,1,,2,0,,19,0,,1,1,0,5,0,,282,3462,"Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 17:05:46,2021-04-20 17:17:01,0,60.50.20.96,100,675,1,2021-04-20 17:17:02,R_2qqkLBdcuybDCQW,,,,,3.0099029541015625,101.635589599609375,anonymous,EN-GB,1,3,5,1,5,5,4,4,4,4,1,2,3,5,2,4,10|4|12|7|11|14|8|5|1|6|2|9|3|13|15,5,2,5,1,1,5,5,5|3|6|1|2|4|7,4,2,5,1,6,7,5,5,7,3|2|4|5|6|7|8|9|1,5,4,5,3,4,2,4,3,7|3|6|2|4|8|1|5,6,4,6,2,5,6,1,1,1,5,3,5,10|5|12|6|3|2|4|1|11|9|8|7,5,4,5,4,1,3|4|1|5|2,3,6,7,5,4|3|2|1,5,6,6,6,3|1|2,4,3,4,2,3,2,4,3,3|4|8|5|7|2|1|6,7,2|5|4|6|3|7,2,1,,1,0,,19,5,,1,1,0,3,4,,305,3629,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 17:33:04,2021-04-20 17:42:21,0,95.150.129.43,100,557,1,2021-04-20 17:42:22,R_2SpoW0iX62G7BxL,,,,,55.902801513671875,-3.0778045654296875,anonymous,EN-GB,1,2,3,4,5,4,4,4,5,4,3,3,4,4,2,1,7|14|9|6|4|5|12|11|15|10|2|1|13|3|8,3,4,4,4,2,3,4,7|5|1|3|6|4|2,5,2,5,3,4,6,4,3,3,2|3|7|8|4|1|9|5|6,3,5,5,5,2,2,3,2,4|1|5|3|8|7|6|2,1,1,1,1,1,1,1,1,1,1,1,1,12|9|6|3|7|1|11|2|5|8|4|10,1,1,1,1,1,5|3|4|1|2,1,1,1,1,3|2|1|4,1,1,1,1,3|2|1,3,4,4,4,3,2,2,2,2|8|7|6|3|1|4|5,7,2|3|7|5|6|4,2,1,,1,0,,18,0,,1,1,1,4,0,,190,3464,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-20 18:00:48,2021-04-20 18:17:43,0,86.165.120.183,100,1014,1,2021-04-20 18:17:43,R_2CVeN8ebMVzhSE6,,,,,55.8865966796875,-3.6981964111328125,anonymous,EN-GB,1,4,5,2,5,3,4,1,4,2,1,2,5,5,1,4,8|15|14|6|10|12|9|4|13|5|3|11|1|2|7,5,2,5,1,1,4,5,4|7|5|3|2|6|1,4,2,4,1,6,7,6,6,5,8|7|4|1|6|2|5|3|9,4,4,4,5,3,2,3,2,1|6|3|7|2|5|8|4,7,7,7,6,6,6,7,7,6,6,6,6,10|2|5|4|9|6|7|1|12|11|8|3,6,7,6,7,1,1|3|2|4|5,5,5,7,4,1|3|2|4,7,7,7,7,1|3|2,4,5,5,5,3,1,3,1,2|4|8|1|5|3|6|7,3,5|6|3|2|7|4,2,1,,1,0,,41,0,,2,1,1,3,0,,357,3408,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 19:32:03,2021-04-20 19:47:45,0,192.41.114.224,100,941,1,2021-04-20 19:47:45,R_shtBTmT9xKsaByN,,,,,55.9488983154296875,-3.1631927490234375,anonymous,EN-GB,1,2,5,1,4,5,2,4,4,4,1,2,4,5,4,4,5|4|7|11|14|10|1|13|12|3|6|8|9|2|15,4,2,5,1,1,5,5,5|2|7|6|1|3|4,7,7,7,3,2,2,4,5,5,6|1|9|4|3|5|7|8|2,4,5,5,4,4,1,3,4,5|8|2|3|6|7|1|4,2,1,1,1,6,6,1,1,1,7,6,6,5|11|8|9|6|2|4|1|7|12|10|3,4,2,5,5,1,5|1|2|4|3,1,1,1,1,4|1|2|3,7,7,5,7,2|1|3,4,3,4,5,3,1,3,2,2|5|8|3|6|4|7|1,3,4|2|6|5|3|7,2,1,,1,0,,18,0,,1,1,0,,,,250,3506,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-20 23:39:36,2021-04-20 23:51:40,0,62.176.248.126,100,724,1,2021-04-20 23:51:41,R_1IMEhXDXPmaLobT,,,,,52.423095703125,10.8224029541015625,anonymous,EN-GB,1,1,5,3,5,5,4,1,5,5,1,4,3,5,2,5,8|5|3|13|4|7|11|10|15|14|9|2|12|6|1,5,1,5,1,1,5,4,3|2|4|7|1|5|6,7,5,6,5,3,3,1,2,3,6|4|5|9|3|2|8|1|7,5,5,5,4,1,1,2,1,7|8|6|1|2|3|4|5,1,1,1,1,4,4,1,1,1,6,1,4,5|7|10|8|3|6|2|9|1|11|12|4,2,4,6,6,1,3|1|2|4|5,6,7,7,1,4|2|3|1,6,7,5,5,1|2|3,5,5,5,4,1,1,1,1,3|5|6|4|2|1|8|7,7,5|4|7|6|3|2,2,1,,1,0,,18,0,,1,1,0,3,6,I personally don't choose to label myself and have a 'go with the flow' kind of outlook in terms of my sexuality,285,3789,"T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-21 05:40:27,2021-04-21 05:48:09,0,192.41.114.227,100,462,1,2021-04-21 05:48:10,R_24ugpKLWnVEzidM,,,,,55.9488983154296875,-3.1631927490234375,anonymous,EN-GB,1,5,5,3,4,5,1,1,2,5,2,2,5,2,2,4,6|11|14|5|4|2|3|12|9|15|8|10|13|7|1,4,1,4,1,1,5,4,2|5|4|7|1|3|6,5,1,1,2,6,7,6,6,3,8|3|1|7|6|2|5|4|9,2,5,4,5,3,1,2,3,5|2|7|3|1|8|4|6,4,4,4,4,4,4,4,4,4,4,4,4,12|9|2|4|7|1|3|6|8|10|11|5,4,4,4,4,4,2|1|5|4|3,4,4,4,4,1|4|3|2,4,4,4,4,2|1|3,4,4,4,4,2,2,1,3,5|1|3|6|4|8|2|7,,2|7|6|4|5|3,1,1,,1,0,,19,3,,3,1,0,0,4,,293,3424,"Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-21 06:07:31,2021-04-21 06:15:31,0,121.6.185.128,100,480,1,2021-04-21 06:15:31,R_3HMq8B6XicFKl65,,,,,1.3242034912109375,103.789703369140625,anonymous,EN-GB,1,4,4,3,4,5,3,4,4,4,1,2,4,3,4,4,9|11|10|7|4|3|6|8|13|1|5|12|14|15|2,4,2,4,2,2,4,4,2|3|6|5|7|1|4,5,5,5,3,5,5,5,3,5,3|1|4|6|2|7|5|9|8,4,4,4,3,4,2,3,2,7|5|6|3|8|4|1|2,4,3,2,2,3,2,3,2,2,5,4,2,11|10|6|2|5|4|7|1|9|3|8|12,4,5,4,5,1,1|5|3|2|4,2,2,5,3,4|2|1|3,6,5,5,4,3|2|1,4,4,4,4,3,2,2,2,6|4|5|7|3|2|8|1,3,2|6|5|7|4|3,2,1,,1,0,,19,5,,1,1,0,4,0,,258,3467,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-21 06:12:50,2021-04-21 06:22:41,0,27.223.199.232,100,591,1,2021-04-21 06:22:42,R_OPg0zAa1TQ1hPKV,,,,,36.0659942626953125,120.369384765625,anonymous,EN-GB,1,4,4,2,4,5,4,1,5,3,2,3,4,4,2,3,10|3|12|1|5|14|11|9|8|7|15|4|2|13|6,3,1,4,2,1,4,4,4|1|2|7|5|3|6,5,4,4,4,4,3,2,2,4,9|5|7|1|3|6|4|8|2,4,4,4,4,2,1,3,2,1|5|3|8|6|2|7|4,5,4,3,3,5,4,3,3,2,5,4,3,10|5|6|3|7|4|1|9|2|12|8|11,4,4,5,5,3,1|4|3|5|2,5,5,5,5,1|4|3|2,5,4,5,5,1|2|3,4,4,4,4,1,2,1,3,4|1|5|7|6|2|8|3,3,5|2|3|6|7|4,2,1,,1,0,,20,3,,3,1,0,2,0,,278,3946,"EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Global/GeneralAttachment(Fraleyetal.,2011and2014)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-21 06:53:41,2021-04-21 07:35:12,0,172.105.194.74,100,2490,1,2021-04-21 07:35:13,R_2VdRLceryAhAg5I,,,,,35.686492919921875,139.74578857421875,anonymous,EN-GB,1,4,5,4,5,5,4,3,5,4,2,2,3,5,2,4,4|15|10|5|14|1|11|6|8|13|12|2|9|7|3,4,4,4,4,2,5,5,3|4|7|5|1|6|2,5,5,5,3,4,6,5,5,6,2|8|4|1|3|6|7|9|5,3,3,4,4,2,2,2,4,6|5|7|8|4|2|1|3,2,1,1,1,1,1,1,1,3,1,5,4,1|3|12|9|11|8|5|7|10|6|2|4,2,1,2,1,1,2|3|1|5|4,1,2,2,2,2|1|4|3,4,2,1,1,3|1|2,4,4,4,4,2,1,2,2,6|4|1|8|5|3|7|2,7,7|3|4|5|2|6,2,1,,1,0,,17,3,,1,1,0,4,0,,221,3833,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-21 08:33:36,2021-04-21 08:44:29,0,89.25.153.173,100,653,1,2021-04-21 08:44:29,R_3fZwfZC4teKLqFT,,,,,50.26300048828125,19.024505615234375,anonymous,EN-GB,1,1,5,1,2,4,5,2,1,1,1,4,4,4,3,5,4|8|14|10|5|7|13|12|6|2|3|9|11|15|1,5,1,5,2,1,4,5,4|3|5|1|2|6|7,6,5,6,5,3,3,3,2,3,2|1|6|7|3|5|9|8|4,5,5,5,5,1,1,2,1,6|8|4|2|1|3|5|7,4,2,1,1,5,5,1,4,1,1,1,1,1|8|2|12|3|5|6|4|9|10|11|7,4,5,5,4,1,1|4|5|2|3,5,4,5,4,2|1|3|4,7,7,7,7,3|1|2,5,5,5,5,1,1,2,1,7|8|1|6|5|2|3|4,3,5|6|3|7|4|2,2,1,,2,0,,19,0,,1,1,1,4,0,,285,3490,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
2021-04-21 10:01:02,2021-04-21 10:13:55,0,82.146.95.147,100,772,1,2021-04-21 10:13:55,R_1Qo3SLDxQm61YOU,,,,,59.904998779296875,10.7487030029296875,anonymous,EN-GB,1,1,5,4,2,4,4,1,4,4,2,5,4,5,2,4,5|15|3|9|1|2|10|12|14|13|11|7|6|8|4,4,1,5,2,1,5,5,1|2|3|7|6|4|5,7,7,7,5,1,2,3,5,7,9|6|7|3|4|5|8|1|2,5,5,5,5,1,1,1,1,7|5|4|8|2|6|3|1,1,1,1,1,1,1,1,1,1,2,1,2,12|10|4|9|6|8|2|1|5|7|3|11,1,1,1,3,1,4|1|2|3|5,1,1,1,1,3|2|1|4,3,1,1,1,1|3|2,5,5,5,4,1,1,1,1,8|4|6|1|7|3|5|2,7,5|3|6|2|7|4,2,1,,1,0,,22,0,,3,1,1,5,0,,224,3752,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)|Personality,BFI-2XS(SotoandJohn,2017)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-21 10:08:43,2021-04-21 10:17:43,0,82.42.18.116,100,539,1,2021-04-21 10:17:43,R_3DjXVBbseeWUVUe,,,,,55.7700042724609375,-4.053497314453125,anonymous,EN-GB,1,4,5,5,5,5,2,1,5,3,3,4,5,4,2,4,6|1|11|14|7|13|8|4|9|10|3|15|12|5|2,5,1,5,1,1,5,4,5|3|1|4|7|6|2,3,6,2,5,4,5,5,6,6,9|8|7|2|6|4|5|1|3,3,3,4,4,2,4,5,1,2|6|5|8|1|3|4|7,1,1,1,1,1,1,1,1,1,1,1,1,12|11|4|5|8|9|7|6|3|1|2|10,1,1,1,1,1,2|4|1|3|5,1,1,1,1,1|4|2|3,1,1,1,1,2|1|3,4,4,3,2,2,4,5,2,2|1|5|6|3|4|7|8,7,3|5|6|2|4|7,2,1,,1,0,,18,0,,1,1,1,4,2,,201,3962,"Personality,BFI-2XS(SotoandJohn,2017)|Global/GeneralAttachment(Fraleyetal.,2011and2014)|EmpathicConcernIRIsubscale(Davis,1980,1983)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoNeutral1""CleanHardwoodFloors""(Riveraetal.,2019)"
2021-04-21 10:54:39,2021-04-21 11:04:58,0,109.255.33.94,100,619,1,2021-04-21 11:04:58,R_z1ZkRXLLLSS6dTX,,,,,53.3379058837890625,-6.25909423828125,anonymous,EN-GB,1,3,5,4,4,4,3,3,5,4,3,2,2,4,2,3,14|3|11|5|13|15|4|10|12|1|7|6|8|9|2,5,1,5,1,1,5,4,5|6|1|4|2|3|7,6,6,6,4,2,3,2,2,4,5|3|8|7|9|6|4|2|1,5,5,4,4,1,1,1,1,3|5|6|8|1|4|7|2,3,2,1,1,5,5,5,1,3,6,1,5,5|9|7|2|1|10|3|12|8|4|6|11,5,4,6,4,1,2|5|4|1|3,7,4,6,3,2|3|4|1,5,7,7,6,2|3|1,5,5,5,4,1,1,1,1,4|2|6|5|1|3|8|7,,2|5|3|4|7|6,1,2,It wouldn't load for me,1,0,,19,0,,1,1,0,3,4,,279,3810,"Global/GeneralAttachment(Fraleyetal.,2011and2014)|Personality,BFI-2XS(SotoandJohn,2017)|EmpathicConcernIRIsubscale(Davis,1980,1983)|T1RelatednessNeedSatisfaction/Frustration(Chenetal.2015)","VideoCondition1""ThaiMedicine""Zickfeldetal.2019"
